iter	Passed	Remaining
839	1586	302
840	1591	300
841	1593	298
842	1594	296
843	1597	295
844	1598	293
845	1600	291
846	1601	289
847	1604	287
848	1606	285
849	1609	284
850	1612	282
851	1613	280
852	1615	278
853	1616	276
854	1618	274
855	1620	272
856	1622	270
857	1624	268
858	1625	266
859	1626	264
860	1628	262
861	1629	260
862	1631	258
863	1634	257
864	1636	255
865	1638	253
866	1640	251
867	1642	249
868	1644	247
869	1645	245
870	1648	244
871	1649	242
872	1651	240
873	1652	238
874	1654	236
875	1655	234
876	1657	232
877	1658	230
878	1660	228
879	1661	226
880	1663	224
881	1666	222
882	1668	221
883	1669	219
884	1671	217
885	1672	215
886	1674	213
887	1675	211
888	1677	209
889	1679	207
890	1681	205
891	1683	203
892	1684	201
893	1686	199
894	1687	198
895	1689	196
896	1690	194
897	1692	192
898	1694	190
899	1696	188
900	1698	186
901	1699	184
902	1701	182
903	1702	180
904	1704	178
905	1705	176
906	1707	175
907	1709	173
908	1711	171
909	1713	169
910	1714	167
911	1715	165
912	1717	163
913	1718	161
914	1720	159
915	1724	158
916	1726	156
917	1727	154
918	1729	152
919	1730	150
920	1732	148
921	1733	146
922	1735	144
923	1738	142
924	1739	141
925	1741	139
926	1743	137
927	1744	135
928	1746	133
929	1747	131
930	1749	129
931	1753	127
932	1754	126
933	1755	124
934	1757	122
935	1758	120
936	1760	118
937	1761	116
938	1763	114
939	1768	112
940	1770	111
941	1772	109
942	1773	107
943	1775	105
944	1776	103
945	1778	101
946	1779	99
947	1781	97
948	1783	95
949	1785	93
950	1786	92
951	1788	90
952	1790	88
953	1791	86
954	1793	84
955	1794	82
956	1796	80
957	1799	78
958	1801	77
959	1802	75
960	1804	73
961	1806	71
962	1807	69
963	1809	67
964	1812	65
965	1815	63
966	1816	61
967	1818	60
968	1819	58
969	1821	56
970	1822	54
971	1823	52
972	1825	50
973	1827	48
974	1829	46
975	1831	45
976	1833	43
977	1834	41
978	1836	39
979	1837	37
980	1839	35
981	1840	33
982	1843	31
983	1845	30
984	1847	28
985	1849	26
986	1850	24
987	1852	22
988	1853	20
989	1855	18
990	1857	16
991	1858	14
992	1860	13
993	1861	11
994	1863	9
995	1865	7
996	1866	5
997	1869	3
998	1872	1
999	1873	0
